locus	kind	key	value
TRB	insVD	0	0.135269
TRB	insVD	1	0.227082
TRB	insVD	2	0.2496
TRB	insVD	3	0.172939
TRB	insVD	4	0.107273
TRB	insVD	5	0.0565977
TRB	insVD	6	0.0237066
TRB	insVD	7	0.0150426
TRB	insVD	8	0.00594776
TRB	insVD	9	0.00271313
TRB	insVD	10	0.00164891
TRB	insVD	11	0.000528458
TRB	insVD	12	0.0016505
TRB	insDJ	0	0.0891837
TRB	insDJ	1	0.261946
TRB	insDJ	2	0.247084
TRB	insDJ	3	0.160598
TRB	insDJ	4	0.120148
TRB	insDJ	5	0.0633215
TRB	insDJ	6	0.0279404
TRB	insDJ	7	0.0159123
TRB	insDJ	8	0.00757723
TRB	insDJ	9	0.00134444
TRB	insDJ	10	0.00229433
TRB	insDJ	11	0.00264925
TRB	dlen	TRBD1*01:0	0.021765962
TRB	dlen	TRBD1*01:1	0.0023795115
TRB	dlen	TRBD1*01:2	0.19274383
TRB	dlen	TRBD1*01:3	0.056888818
TRB	dlen	TRBD1*01:4	0.14463082
TRB	dlen	TRBD1*01:5	0.1607371
TRB	dlen	TRBD1*01:6	0.12392679
TRB	dlen	TRBD1*01:7	0.087110298
TRB	dlen	TRBD1*01:8	0.079274121
TRB	dlen	TRBD1*01:9	0.055215825
TRB	dlen	TRBD1*01:10	0.028881162
TRB	dlen	TRBD1*01:11	0.024627844
TRB	dlen	TRBD1*01:12	0.015604804
TRB	dlen	TRBD1*01:13	0.0012284871
TRB	dlen	TRBD1*01:14	0.004389229
TRB	dlen	TRBD1*01:16	0.00059540975
TRB	dlen	TRBD2*01:0	1.2107861e-20
TRB	dlen	TRBD2*01:1	0.017425062
TRB	dlen	TRBD2*01:2	0.062040405
TRB	dlen	TRBD2*01:3	0.0079384255
TRB	dlen	TRBD2*01:4	0.055022926
TRB	dlen	TRBD2*01:5	0.10630788
TRB	dlen	TRBD2*01:6	0.072783147
TRB	dlen	TRBD2*01:7	0.13447895
TRB	dlen	TRBD2*01:8	0.12707216
TRB	dlen	TRBD2*01:9	0.11758554
TRB	dlen	TRBD2*01:10	0.10996587
TRB	dlen	TRBD2*01:11	0.082447528
TRB	dlen	TRBD2*01:12	0.038258116
TRB	dlen	TRBD2*01:13	0.022771857
TRB	dlen	TRBD2*01:14	0.029913128
TRB	dlen	TRBD2*01:15	0.0037814005
TRB	dlen	TRBD2*01:16	0.0080806964
TRB	dlen	TRBD2*01:17	0.0014267889
TRB	dlen	TRBD2*01:18	0.0027001247
TRB	d_given_j	TRBD1*01|TRBJ1-1*01	1
TRB	d_given_j	TRBD1*01|TRBJ1-2*01	1
TRB	d_given_j	TRBD1*01|TRBJ1-3*01	1
TRB	d_given_j	TRBD1*01|TRBJ1-4*01	1
TRB	d_given_j	TRBD1*01|TRBJ1-5*01	1
TRB	d_given_j	TRBD1*01|TRBJ1-6*01	1
TRB	d_given_j	TRBD1*01|TRBJ2-1*01	0.502666
TRB	d_given_j	TRBD2*01|TRBJ2-1*01	0.497334
TRB	d_given_j	TRBD1*01|TRBJ2-2*01	0.620184
TRB	d_given_j	TRBD2*01|TRBJ2-2*01	0.379816
TRB	d_given_j	TRBD1*01|TRBJ2-3*01	0.54569
TRB	d_given_j	TRBD2*01|TRBJ2-3*01	0.45431
TRB	d_given_j	TRBD1*01|TRBJ2-4*01	0.522695
TRB	d_given_j	TRBD2*01|TRBJ2-4*01	0.477305
TRB	d_given_j	TRBD1*01|TRBJ2-5*01	0.528208
TRB	d_given_j	TRBD2*01|TRBJ2-5*01	0.471792
TRB	d_given_j	TRBD1*01|TRBJ2-7*01	0.510279
TRB	d_given_j	TRBD2*01|TRBJ2-7*01	0.489721
TRB	d_marginal	TRBD1*01	0.71396875
TRB	d_marginal	TRBD2*01	0.28603125
TRB	beta		1.5
