locus	kind	key	value
IGH	insVD	0	0.0156841
IGH	insVD	1	0.0133492
IGH	insVD	2	0.0318305
IGH	insVD	3	0.0536327
IGH	insVD	4	0.0717323
IGH	insVD	5	0.0693499
IGH	insVD	6	0.0708693
IGH	insVD	7	0.069049
IGH	insVD	8	0.0662165
IGH	insVD	9	0.066167
IGH	insVD	10	0.0614392
IGH	insVD	11	0.0567546
IGH	insVD	12	0.048248
IGH	insVD	13	0.0434769
IGH	insVD	14	0.0372504
IGH	insVD	15	0.0319681
IGH	insVD	16	0.0268793
IGH	insVD	17	0.0238947
IGH	insVD	18	0.0174149
IGH	insVD	19	0.0164607
IGH	insVD	20	0.013425
IGH	insVD	21	0.0118015
IGH	insVD	22	0.0103139
IGH	insVD	23	0.00842441
IGH	insVD	24	0.00742351
IGH	insVD	25	0.00613087
IGH	insVD	26	0.00593826
IGH	insVD	27	0.00488709
IGH	insVD	28	0.00476727
IGH	insVD	29	0.00383626
IGH	insVD	30	0.00369003
IGH	insVD	31	0.0032656
IGH	insVD	32	0.00290255
IGH	insVD	33	0.00231115
IGH	insVD	34	0.00221705
IGH	insVD	35	0.00199928
IGH	insVD	36	0.00161274
IGH	insVD	37	0.00166865
IGH	insVD	38	0.00121428
IGH	insVD	39	0.00123824
IGH	insVD	40	0.00112886
IGH	insVD	41	0.00116173
IGH	insVD	42	0.000625371
IGH	insVD	43	0.000682141
IGH	insVD	44	0.00100915
IGH	insVD	45	0.000449861
IGH	insVD	46	0.000618188
IGH	insVD	47	0.000637948
IGH	insVD	48	0.000438992
IGH	insVD	49	0.000137678
IGH	insVD	50	0.000358883
IGH	insVD	51	0.000192473
IGH	insVD	52	0.000448392
IGH	insVD	53	9.58974e-05
IGH	insVD	54	0.000217938
IGH	insVD	55	0.000195527
IGH	insVD	56	0.000250542
IGH	insVD	57	4.3086e-05
IGH	insVD	58	0.00013789
IGH	insVD	59	0.00010244
IGH	insVD	60	0.000332023
IGH	insDJ	0	0.0172366
IGH	insDJ	1	0.0200147
IGH	insDJ	2	0.0386513
IGH	insDJ	3	0.065385
IGH	insDJ	4	0.0735531
IGH	insDJ	5	0.0714316
IGH	insDJ	6	0.0604028
IGH	insDJ	7	0.0661654
IGH	insDJ	8	0.0623203
IGH	insDJ	9	0.0546426
IGH	insDJ	10	0.0535173
IGH	insDJ	11	0.0459073
IGH	insDJ	12	0.0430245
IGH	insDJ	13	0.0392942
IGH	insDJ	14	0.0327065
IGH	insDJ	15	0.0294925
IGH	insDJ	16	0.024265
IGH	insDJ	17	0.023849
IGH	insDJ	18	0.0191015
IGH	insDJ	19	0.0171603
IGH	insDJ	20	0.0139567
IGH	insDJ	21	0.0119792
IGH	insDJ	22	0.0114401
IGH	insDJ	23	0.0115652
IGH	insDJ	24	0.00812883
IGH	insDJ	25	0.00909221
IGH	insDJ	26	0.00674935
IGH	insDJ	27	0.00693261
IGH	insDJ	28	0.00682681
IGH	insDJ	29	0.0051028
IGH	insDJ	30	0.00533472
IGH	insDJ	31	0.00511431
IGH	insDJ	32	0.00438476
IGH	insDJ	33	0.00320017
IGH	insDJ	34	0.00356963
IGH	insDJ	35	0.00353649
